claim_id,short_name,exact_allowed_wording,claim_class,evidence_type,source_artifact,source_fields_or_rows,numerical_value_if_any,unit,denominator_or_n_if_applicable,uncertainty_status,qualification_required,manuscript_section,prominence,manuscript_eligible,abstract_eligible,conclusion_eligible,figure_or_table_candidate,prohibited_extensions,supersedes_prior_claim,notes,admission_status,quantitative,subgroup_percentage
ENG-001,Reviewed mechanics,The reviewed financial-engine mechanics pass the archived independent return/debt checks and runtime invariants on the tested paths.,VERIFIED_MECHANICAL,frozen artifact audit,"[""results/v3/foundation_validation.json""]","[{""artifact"": ""results/v3/foundation_validation.json"", ""keys"": [""independent_return_check""]}, {""artifact"": ""results/v3/foundation_validation.json"", ""keys"": [""independent_debt_schedule"", ""exact_match""]}, {""artifact"": ""results/v3/foundation_validation.json"", ""keys"": [""runtime_validation""]}]","[{""expected_irr"": 0.1486983549970351, ""actual_irr"": 0.1486983549970351, ""absolute_irr_difference"": 0.0, ""expected_moic"": 2.0, ""actual_moic"": 2.0, ""absolute_moic_difference"": 0.0, ""tolerance"": 1e-12}, true, {""seed"": 42, ""scenarios_validated"": 200, ""years_validated"": 1000, ""failures"": 0, ""failure_record_directory"": ""results/v3/invariant_failures""}]",test results and counts,"{""scenarios"": 200, ""scenario_years"": 1000}",Descriptive frozen realization; no new interval or significance test. Mechanical checks are conditional on tested paths.,Conditional on the frozen synthetic system; no borrower-population inference.,"[""S4"", ""S11""]",supporting,true,true,true,"[""T2"", ""F1""]","No empirical, causal, calibrated-PD, universal-generalization or substantive financing-optimum extension.",No prior numerical claim imported.,,not applicable,true,false
ENG-002,Runtime scope,"All 1,000 benchmark scenario-years across 200 paths passed the recorded runtime invariants; six specified adversarial corruptions were detected.",VERIFIED_MECHANICAL,frozen artifact audit,"[""results/v3/foundation_validation.json""]","[{""artifact"": ""results/v3/foundation_validation.json"", ""keys"": [""runtime_validation""]}, {""artifact"": ""results/v3/foundation_validation.json"", ""keys"": [""adversarial_corruptions_detected""]}]","[{""seed"": 42, ""scenarios_validated"": 200, ""years_validated"": 1000, ""failures"": 0, ""failure_record_directory"": ""results/v3/invariant_failures""}, [""ending_cash"", ""closing_term_debt"", ""revolver_draw_above_capacity"", ""unpaid_amortisation"", ""cash_sweep_above_remaining_term_debt"", ""year_2_opening_cash_roll_forward""]]",counts,"{""scenarios"": 200, ""scenario_years"": 1000}",Descriptive frozen realization; no new interval or significance test. Mechanical checks are conditional on tested paths.,Validation on tested paths is not a proof for every input or economic validity.,"[""S4""]",supporting,true,false,false,"[""T2""]","No empirical, causal, calibrated-PD, universal-generalization or substantive financing-optimum extension.",No prior numerical claim imported.,,not applicable,true,false
ENG-003,Independent returns and debt,Independent geometric return/MOIC expectations and the hand-derived debt schedule match production within the recorded tolerance.,VERIFIED_MECHANICAL,frozen artifact audit,"[""results/v3/foundation_validation.json""]","[{""artifact"": ""results/v3/foundation_validation.json"", ""keys"": [""independent_return_check""]}, {""artifact"": ""results/v3/foundation_validation.json"", ""keys"": [""independent_debt_schedule""]}]","[{""expected_irr"": 0.1486983549970351, ""actual_irr"": 0.1486983549970351, ""absolute_irr_difference"": 0.0, ""expected_moic"": 2.0, ""actual_moic"": 2.0, ""absolute_moic_difference"": 0.0, ""tolerance"": 1e-12}, {""expected"": [{""year"": 1, ""opening_debt"": 100.0, ""cash_interest"": 10.0, ""mandatory_amortisation"": 20.0, ""closing_debt"": 80.0}, {""year"": 2, ""opening_debt"": 80.0, ""cash_interest"": 8.0, ""mandatory_amortisation"": 20.0, ""closing_debt"": 60.0}, {""year"": 3, ""opening_debt"": 60.0, ""cash_interest"": 6.0, ""mandatory_amortisation"": 20.0, ""closing_debt"": 40.0}, {""year"": 4, ""opening_debt"": 40.0, ""cash_interest"": 4.0, ""mandatory_amortisation"": 20.0, ""closing_debt"": 20.0}, {""year"": 5, ""opening_debt"": 20.0, ""cash_interest"": 2.0, ""mandatory_amortisation"": 20.0, ""closing_debt"": 0.0}], ""actual"": [{""year"": 1, ""opening_debt"": 100.0, ""cash_interest"": 10.0, ""mandatory_amortisation"": 20.0, ""closing_debt"": 80.0}, {""year"": 2, ""opening_debt"": 80.0, ""cash_interest"": 8.0, ""mandatory_amortisation"": 20.0, ""closing_debt"": 60.0}, {""year"": 3, ""opening_debt"": 60.0, ""cash_interest"": 6.0, ""mandatory_amortisation"": 20.0, ""closing_debt"": 40.0}, {""year"": 4, ""opening_debt"": 40.0, ""cash_interest"": 4.0, ""mandatory_amortisation"": 20.0, ""closing_debt"": 20.0}, {""year"": 5, ""opening_debt"": 20.0, ""cash_interest"": 2.0, ""mandatory_amortisation"": 20.0, ""closing_debt"": 0.0}], ""exact_match"": true}]","fractions, multiple and currency units","{""debt_schedule_years"": 5}",Descriptive frozen realization; no new interval or significance test. Mechanical checks are conditional on tested paths.,Conditional on the frozen synthetic system; no borrower-population inference.,"[""S4""]",supporting,true,false,false,"[""T2""]","No empirical, causal, calibrated-PD, universal-generalization or substantive financing-optimum extension.",No prior numerical claim imported.,,not applicable,true,false
REP-001,Baseline reproduction,"The archived baseline reproduced financial and statistical fields exactly, excluding runtime timing and source-commit metadata.",VERIFIED_MECHANICAL,frozen artifact audit,"[""results/v3/baseline/verification.json"", ""results/v3/foundation_validation.json""]","[{""artifact"": ""results/v3/baseline/verification.json"", ""keys"": [""financial_and_statistical_differences""]}, {""artifact"": ""results/v3/foundation_validation.json"", ""keys"": [""reviewed_v2_reproduction""]}]",null,not applicable,null,Descriptive frozen realization; no new interval or significance test. Mechanical checks are conditional on tested paths.,Historical verification evidence; no experiment was rerun for this freeze.,"[""S12""]",supporting,true,false,false,[],"No empirical, causal, calibrated-PD, universal-generalization or substantive financing-optimum extension.",No prior numerical claim imported.,,not applicable,false,false
SCR-001,Central thesis,"A screening model can be mechanically correct and rank adverse outcomes well while still failing to provide a stable, portable decision threshold across structurally different synthetic borrower archetypes.",INTERPRETIVE_SYNTHESIS,interpretive synthesis of frozen evidence,"[""results/v3/foundation_validation.json"", ""results/v3/template_evaluation/fold_results.csv"", ""results/v3/template_evaluation/summary.json""]","[{""artifact"": ""results/v3/foundation_validation.json"", ""keys"": [""runtime_validation""]}, {""artifact"": ""results/v3/template_evaluation/summary.json"", ""keys"": [""ranking""]}, {""artifact"": ""results/v3/template_evaluation/fold_results.csv""}]",null,not applicable,null,Descriptive frozen realization; no new interval or significance test. Mechanical checks are conditional on tested paths.,"A supported possibility illustrated by this synthetic system, not a universal or empirical borrower claim.","[""S1"", ""S2"", ""S11""]",PRIMARY_CONCEPTUAL_CLAIM,true,true,true,"[""F1""]","No empirical, causal, calibrated-PD, universal-generalization or substantive financing-optimum extension.",No prior numerical claim imported.,,not applicable,false,false
SCR-002,Three validation layers,"Engine correctness, ranking performance, and decision usefulness are distinct validation layers: passing one layer does not imply passing the next.",INTERPRETIVE_SYNTHESIS,interpretive synthesis of frozen evidence,"[""results/v3/foundation_validation.json"", ""results/v3/template_evaluation/summary.json""]","[{""artifact"": ""results/v3/foundation_validation.json"", ""keys"": [""runtime_validation""]}, {""artifact"": ""results/v3/template_evaluation/summary.json"", ""keys"": [""ranking""]}, {""artifact"": ""results/v3/template_evaluation/summary.json"", ""keys"": [""selected_threshold""]}]",null,not applicable,null,Descriptive frozen realization; no new interval or significance test. Mechanical checks are conditional on tested paths.,Conditional on the frozen synthetic system; no borrower-population inference.,"[""S1"", ""S2"", ""S11""]",primary,true,true,true,"[""F1""]","No empirical, causal, calibrated-PD, universal-generalization or substantive financing-optimum extension.",No prior numerical claim imported.,,not applicable,false,false
SCR-003,Synthetic benchmark,"The screening evaluation contains 200 synthetic scenarios across five templates, with 20 broad financial failures.",SYNTHETIC_RESULT,frozen artifact audit,"[""results/v3/template_evaluation/summary.json""]","[{""artifact"": ""results/v3/template_evaluation/summary.json"", ""keys"": [""n_scenarios""]}, {""artifact"": ""results/v3/template_evaluation/summary.json"", ""keys"": [""n_templates""]}, {""artifact"": ""results/v3/template_evaluation/summary.json"", ""keys"": [""n_failures""]}]","[200, 5, 20]",counts,"{""scenarios"": 200, ""templates"": 5, ""failures"": 20, ""nonfailures"": 180}",Descriptive frozen realization; no new interval or significance test. Mechanical checks are conditional on tested paths.,Conditional on the frozen synthetic system; no borrower-population inference.,"[""S5""]",supporting,true,true,false,"[""F2""]","No empirical, causal, calibrated-PD, universal-generalization or substantive financing-optimum extension.",No prior numerical claim imported.,,not applicable,true,false
SCR-004,Pooled ranking,The fixed screening score has aggregate ROC-AUC 0.947 and average precision 0.781 on the 200 synthetic scenarios (20 failures).,SYNTHETIC_RESULT,frozen artifact audit,"[""results/v3/template_evaluation/summary.json""]","[{""artifact"": ""results/v3/template_evaluation/summary.json"", ""keys"": [""ranking""]}]","[{""roc_auc"": 0.9472222222222222, ""pr_auc"": 0.7805768293204627}]",unitless,"{""scenarios"": 200, ""failures"": 20, ""nonfailures"": 180}",Descriptive frozen realization; no new interval or significance test. Mechanical checks are conditional on tested paths.,Conditional on the frozen synthetic system; no borrower-population inference.,"[""S6"", ""S11""]",primary,true,true,true,"[""T3"", ""F2"", ""A-F1""]","No empirical, causal, calibrated-PD, universal-generalization or substantive financing-optimum extension.",Retains reviewed v2 ranking under the same score-label pairs; excludes its scenario-bootstrap interval from v3.,,not applicable,true,false
SCR-005,AUC identity,Aggregate held-out and pooled AUC equality is mechanically expected because the fixed score uses the same score-label pairs once each; it is not independent evidence of generalization.,VERIFIED_MECHANICAL,frozen artifact audit,"[""results/v3/template_evaluation/summary.json"", ""results/v3/template_evaluation/verification.json""]","[{""artifact"": ""results/v3/template_evaluation/summary.json"", ""keys"": [""ranking""]}, {""artifact"": ""results/v3/template_evaluation/summary.json"", ""keys"": [""pooled_recomputed_ranking""]}, {""artifact"": ""results/v3/template_evaluation/verification.json"", ""keys"": [""source_records_equal_archived_json""]}]",null,not applicable,null,Descriptive frozen realization; no new interval or significance test. Mechanical checks are conditional on tested paths.,Conditional on the frozen synthetic system; no borrower-population inference.,"[""S6"", ""S11""]",supporting,true,true,true,"[""T3"", ""F2""]","No empirical, causal, calibrated-PD, universal-generalization or substantive financing-optimum extension.",No prior numerical claim imported.,,not applicable,false,false
SCR-006,Transferred thresholds,"Training-only transferred thresholds yield recall 75.0% (15/20), specificity 78.9% (142/180), 38 false positives and 5 false negatives among 200 scenarios; balanced accuracy is 0.769.",CONDITIONAL_SYNTHETIC_RESULT,frozen artifact audit,"[""results/v3/template_evaluation/summary.json""]","[{""artifact"": ""results/v3/template_evaluation/summary.json"", ""keys"": [""selected_threshold""]}]","[{""tp"": 15, ""fp"": 38, ""tn"": 142, ""fn"": 5, ""sensitivity"": 0.75, ""specificity"": 0.7888888888888889, ""fnr"": 0.25, ""fpr"": 0.2111111111111111, ""balanced_accuracy"": 0.7694444444444444, ""precision"": 0.2830188679245283, ""f1"": 0.410958904109589}]",counts and fractions,"{""scenarios"": 200, ""positive"": 20, ""negative"": 180, ""predicted_positive"": 53}",Descriptive frozen realization; no new interval or significance test. Mechanical checks are conditional on tested paths.,Conditional on the frozen synthetic system; no borrower-population inference.,"[""S6"", ""S11""]",primary,true,true,true,"[""T3""]","No empirical, causal, calibrated-PD, universal-generalization or substantive financing-optimum extension.",No prior numerical claim imported.,,not applicable,true,false
